KEY;default;dk;de;nl;sl;no;se;fi;lt;fr;it;gr;pl;es;pt
com.ipmwise.4.name;IPMwise;IPMwise;IPMwise;IPMwise;;;IPMwise;IPMwise;IMPwise;;IPMwise;;;;
com.ipmwise.4.models.ipmwiseDEMO.description;"Adapt weed management to your needs as a professional farmer or crop advisor. Decide yourself, the level of weed control 
or let the built-in IPM principles of IPMwise guide you. The software contains useful tools to adapt the effort against weeds to the 
current weed population in a field and thus minimize the use of herbicides considerably. The software can be used to plan herbicide 
efforts at both field level and as a general planning tool for crop advisors to find suitable tank mixtures and corresponding dose rates. 
The principles of the program are based on dose response data derived from efficacy reports. In Denmark, work is currently underway to 
also use the IPMwise decision support software in conjunction with artificial intelligence, automatic weed recognition and spray maps. 
This demo has been restricted concerning the number of crops and weeds compared to the full Danish version.
";Tilpas ukrudtshåndteringen til dine behov som professionel landmand eller konsulent. Bestem selv niveauet af ukrudtsbekæmpelse, eller lad de indbyggede IPM-principper i IPMwise guide dig. Softwaren indeholder nyttige værktøjer til at tilpasse ukrudtsbekæmpelsen til den aktuelle ukrudtspopulation på en mark og dermed minimere brugen af ​​herbicider. Softwaren kan bruges til at planlægge herbicidoperationer på både markniveau og som et generelt planlægningsværktøj for rådgivere til at finde passende tankblandinger og tilsvarende mængder. Principperne for programmet er baseret på dosis-respons-data afledt af effektforsøg. I Danmark arbejdes der i øjeblikket på også at bruge beslutningsstøtteprogrammet IPMwise i kombination med kunstig intelligens, automatisk ukrudtsgenkendelse og bekæmpelseskort. Denne demo har været begrænset i forhold til antallet af afgrøder og ukrudt i forhold til den fulde danske version.;Passt das Unkrautmanagement an Ihre Bedürfnisse als professioneller Landwirt oder Anbauberater an. Entscheiden Sie selbst über den Grad der Unkrautbekämpfung oder lassen Sie sich von den integrierten IPM-Grundsätzen von IPMwise leiten. Die Software enthält nützliche Werkzeuge zur Anpassung der Unkrautbekämpfung an die Unkrautpopulation in einem Feld, um so den Einsatz von Herbiziden erheblich zu minimieren. Die Software kann sowohl zur Planung des Herbizideinsatzes auf Feldebene als auch als allgemeines Planungsinstrument für Pflanzenbauberater verwendet werden, um geeignete Tankmischungen und entsprechende Dosierungen zu finden. Die Grundsätze des Programms beruhen auf Dosis-Wirkungs-Daten, die aus Wirksamkeitsberichten abgeleitet werden. In Dänemark wird derzeit daran gearbeitet, die IPMwise-Entscheidungshilfe-Software in Verbindung mit künstlicher Intelligenz, automatischer Unkrauterkennung und Spritzkarten einzusetzen. Diese Demo ist hinsichtlich der Anzahl der Kulturen und Unkräuter im Vergleich zur dänischen Vollversion eingeschränkt.;"Stem het onkruidbeheer af op uw behoeften als professionele landbouwer of gewasadviseur. Bepaal zelf het niveau van onkruidbestrijding of laat u leiden door de ingebouwde IPM-beginselen van IPMwise. Het programma bevat nuttige hulpmiddelen om de inspanning tegen onkruid aan te passen aan de huidige onkruidpopulatie in een veld en zo het gebruik van herbiciden aanzienlijk te minimaliseren. Het programma kan worden gebruikt voor het plannen van herbiciden bespuitingen op zowel veldniveau als voor een algemene planningstool voor gewasadviseurs om geschikte tankmixen en bijbehorende doseringen te vinden. 
De uitgangspunten van het programma zijn gebaseerd op doseringsgegevens uit effectiviteitsrapporten. In Denemarken wordt momenteel gewerkt aan 
het programma ook te gebruiken in combinatie met kunstmatige intelligentie, automatische onkruidherkenning en spuitkaarten. Deze demo is beperkt wat betreft het aantal gewassen en onkruiden in vergelijking met de volledige Deense versie.";Prilagodite obvladovanje plevela svojim potrebam. Sami se odločite o stopnji zatiranja plevela, ali pa se prepustite vgrajenim načelom IPMwise. Programska oprema vsebuje uporabna orodja, s katerimi lahko ukrep proti plevelu prilagodite trenutni stopnji zapleveljenosti in tako znatno zmanjšate uporabo herbicidov. Programsko opremo lahko uporabite za načrtovanje tretiranja s herbicidi tako na ravni polja ali kot splošno orodje za načrtovanje primerne škropilne mešanice in ustrezne odmerke za kmetijske svetovalce. Načela orodja temeljijo na podatkih o odzivu na odmerek, pridobljenih iz poročil o učinkovitosti. Na Danskem trenutno poteka delo za uporabo sistema za podporo odločanju IPMwise v povezavi z umetno inteligenco, samodejnim prepoznavanjem plevela in zemljevidi škropljenja. Ta demo različica je bila v primerjavi s polno dansko različico omejena glede števila poljščin in plevelov.;Tilpass ugrashåndteringen til dine behov som profesjonell bonde eller avlingsrådgiver. Du kan selv bestemme nivået av ugrasbekjempelse, eller la de innebygde IPV-prinsippene i IPMwise veilede deg. Programvaren inneholder nyttige verktøy for å tilpasse innsatsen mot ugras til den nåværende ugrasbestand i en åker og dermed minimere bruken av herbicider betraktelig. Programvaren kan brukes til å planlegge bruken av herbicider både på feltnivå og som et generelt planleggingsverktøy for avlingsrådgivere for å finne passende blandinger og tilsvarende doseringsrater. Prinsippene for programmet er basert på doseresponsdata utledet fra effektrapporter. I Danmark jobbes det for tiden med å bruke IPMwise programvare beslutningsstøtte i forbindelse med kunstig intelligens, automatisk ugrasgjenkjenning og sprøytekart. Denne demoen har vært begrenset med hensyn til antall avlinger og ugras sammenlignet med den fullstendige danske versjonen.;Anpassa ogräshanteringen efter dina behov som professionell lantbrukare eller rådgivare. Bestäm själv nivån på ogräsbekämpning eller låt de inbyggda IPM-principerna i IPMwise vägleda dig. Programvaran innehåller användbara verktyg för att anpassa ogräsbekämpningen till den aktuella ogräspopulationen i ett fält och därmed en minimerad användning av herbicider. Programvaran kan användas för att planera herbicidinsatser på både fältnivå och som ett allmänt planeringsverktyg för rådgivare för att hitta lämpliga tankblandningar och motsvarande doser. Principerna för programmet är baserade på dos-responsdata som härrör från effektförsök. I Danmark pågår för närvarande arbetet med att även använda beslutsstödsprogrammet IPMwise i kombination med artificiell intelligens, automatisk ogräsigenkänning och bekämpningskartor. Denna demo har begränsats när det gäller antalet grödor och ogräs jämfört med den fullständiga danska versionen.;"Mukauta rikkakasvien hallinta tarpeittesi mukaan joko maanviljelijänä tai neuvojana. Päätä itse, rikkakasvien torjuntataso tai anna IPMwiseen rakennettujen IPM-periaatteiden opastaa sinua. Ohjelmisto sisältää hyödyllisiä työkaluja, joiden avulla voit mukauttaa rikkakasvien torjuntaa ja minimoida rikkakasvien torjunta-aineiden käyttöä. Ohjelmistoa voidaan käyttää rikkakasvien torjunnan suunnitteluun sekä lohkotasolla että yleisenä työkaluna esimerkiksi seosten tai annosnopeuksien suunnittelemiseksi.
Ohjelman periaatteet perustuvat tehokkuuskokeista saatuihin annosvastetietoihin. Tanskassa työ on parhaillaan käynnissä myös IPMwise-päätöksentukiohjelmiston käyttämiseksi yhdessä tekoälyn, automaattisen rikkakasvien tunnistuksen ja ruiskutuskarttojen kanssa. Tämä versio on rajoitettu koskemaan vaan osaa kasvilajeja ja rikkakasveja verrattuna tanskankieliseen täysversioon.
";Piktžolių kontrolę pasirinkite pagal savo, kaip profesionalaus ūkininko ar augalininkystės konsultanto, poreikius. Patys įvertinkite piktžolių kontrolės poreikį arba vadovaukitės IKOK principais naudodami IPMwise. Programinėje įrangoje yra naudingų įrankių, leidžiančių pritaikyti piktžolių kontrolei skirtas priemones atsižvelgiant į piktžolių rūšinę sudėtį lauke ir tai leidžia gerokai sumažinti herbicidų naudojimą. Programinė įranga taip pat gali būti naudojama herbicidų poreikiui planuoti tiek konkretaus lauko lygmeniu, tiek kaip bendrą planavimo įrankį, skirtą konsultantams. Įranga padeda pasirenkant  efektyviausius darbinius mišinius ir tinkamiausias naudojamų herbicidų normas. Programos principai pagrįsti herbicido dozės ir jos atsako duomenimis, gautais iš veiksmingumo ataskaitų. Danijoje šiuo metu taip pat dirbama siekiant naudoti IPMwise sprendimų paramos programinę įrangą kartu su dirbtiniu intelektu, automatiniu piktžolių atpažinimu ir purškimo žemėlapiais. Ši demonstracinė versija yra ribota, palyginti su Danijai tinkama versija, nes apima ribotą augalų ir piktžolių skaičių.;;"Personalizzate la gestione delle infestanti secondo le vostre esigenze di agricoltori professionisti o di consulenti colturali. Decidete voi stessi il livello di controllo delle infestanti 
o lasciatevi guidare dai principi IPM integrati di IPMwise. Il software contiene strumenti utili per adattare lo sforzo contro le infestanti alla 
popolazione attuale di erbe infestanti in un campo e quindi ridurre notevolmente l'uso di erbicidi. Il software può essere utilizzato per pianificare gli sforzi 
sia a livello di campo che come strumento di pianificazione generale per i consulenti colturali, per trovare le miscele adatte e le dosi corrispondenti. 
I principi del programma si basano su dati di risposta alla dose derivati da rapporti di efficacia. In Danimarca si sta lavorando per 
utilizzare il software di supporto decisionale IPMwise insieme all'intelligenza artificiale, al riconoscimento automatico delle infestanti e alle mappe di irrorazione. 
Questa demo è stata limitata per quanto riguarda il numero di colture e infestanti rispetto alla versione completa danese.";;;;
com.ipmwise.4.models.ipmwiseDEMO.name;IPMwise demo version;IPMwise demo version;IPMwise Demoversion;IPMwise demo versie;Demo različica programa IPMwise;Demoversjon av IPMwise;Demoversion av IPMwise ;IPMwise demoversio;IPMwise demo versija;;IPMWise versione demo;;;;
com.ipmwise.4.models.ipmwiseDEMO.purpose;Weed treatment advice;Råd om ukrudtsbekæmpelse;Beratung zur Unkrautbehandlung;Onkruidbestrijdingsadvies;Nasveti za zatiranje plevela;Råd om bekjempelse av ugras;Råd om ogräsbehandling;Rikkakasvien torjunnan tueksi;Piktžolių kontrolės patarimai;;Consigli per il trattamento delle erbe infestanti;;;;
com.ipmwise.4.models.ipmwiseDK.description;"Dansk: Tilpas ukrudtsbekæmpelsen til netop dit behov som landmand eller konsulent. Bestem selv, hvor rene dine marker skal være - eller lad IPMwise
guide dig, hvis du foretrækker IPM. Programmet indeholder nyttige værktøjer, der kan hjælpe med at tilpasse indsatsen mod ukrudt til den aktuelle 
ukrudtsbestand i marken og på den måde mindske herbicidforbruget betragteligt. Programmet kan anvendes til planlægning af herbicidindsatsen på både
markniveau og som et generelt planlægningsværtøj for planteavlskonsulenter til at finde egnede tankblandinger og tilhørende doser. Programmet
fungerer ved hjælp af dosis-respons-data, som kommer fra effektrapporter. I Danmark arbejdes der for tiden på også at anvende programmet 
i forbindelse med kunstig intelligens, automatisk ukrudtsgenkendelse og tildelingskort.

English: Adapt weed management to your needs as a professional farmer or crop advisor. Decide yourself, the level of weed control 
or let the built-in IPM principles of IPMwise guide you. The program contains useful tools to adapt the effort against weeds to the 
current weed population in a field and thus minimize the use of herbicides considerably. The program can be used to plan herbicide 
efforts at both field level and as a general planning tool for crop advisors to find suitable tank mixtures and corresponding dose rates. 
The principles of the program are based on dose response data derived from efficacy reports. In Denmark, work is currently underway to 
also use the program in conjunction with artificial intelligence, automatic weed recognition and spray maps.
";"Dansk: Tilpas ukrudtsbekæmpelsen til netop dit behov som landmand eller konsulent. Bestem selv, hvor rene dine marker skal være - eller lad IPMwise
guide dig, hvis du foretrækker IPM. Programmet indeholder nyttige værktøjer, der kan hjælpe med at tilpasse indsatsen mod ukrudt til den aktuelle 
ukrudtsbestand i marken og på den måde mindske herbicidforbruget betragteligt. Programmet kan anvendes til planlægning af herbicidindsatsen på både
markniveau og som et generelt planlægningsværtøj for planteavlskonsulenter til at finde egnede tankblandinger og tilhørende doser. Programmet
fungerer ved hjælp af dosis-respons-data, som kommer fra effektrapporter. I Danmark arbejdes der for tiden på også at anvende programmet 
i forbindelse med kunstig intelligens, automatisk ukrudtsgenkendelse og tildelingskort.

English: Adapt weed management to your needs as a professional farmer or crop advisor. Decide yourself, the level of weed control 
or let the built-in IPM principles of IPMwise guide you. The program contains useful tools to adapt the effort against weeds to the 
current weed population in a field and thus minimize the use of herbicides considerably. The program can be used to plan herbicide 
efforts at both field level and as a general planning tool for crop advisors to find suitable tank mixtures and corresponding dose rates. 
The principles of the program are based on dose response data derived from efficacy reports. In Denmark, work is currently underway to 
also use the program in conjunction with artificial intelligence, automatic weed recognition and spray maps.
";Passt das Unkrautmanagement an Ihre Bedürfnisse als professioneller Landwirt oder Anbauberater an. Entscheiden Sie selbst über den Grad der Unkrautbekämpfung oder lassen Sie sich von den integrierten IPM-Grundsätzen von IPMwise leiten. Die Software enthält nützliche Werkzeuge zur Anpassung der Unkrautbekämpfung an die Unkrautpopulation in einem Feld, um so den Einsatz von Herbiziden erheblich zu minimieren. Die Software kann sowohl zur Planung des Herbizideinsatzes auf Feldebene als auch als allgemeines Planungsinstrument für Pflanzenbauberater verwendet werden, um geeignete Tankmischungen und entsprechende Dosierungen zu finden. Die Grundsätze des Programms beruhen auf Dosis-Wirkungs-Daten, die aus Wirksamkeitsberichten abgeleitet werden. In Dänemark wird derzeit daran gearbeitet, die IPMwise-Entscheidungshilfe-Software in Verbindung mit künstlicher Intelligenz, automatischer Unkrauterkennung und Spritzkarten einzusetzen. ;"Stem het onkruidbeheer af op uw behoeften als professionele landbouwer of gewasadviseur. Bepaal zelf het niveau van onkruidbestrijding of laat u leiden door de ingebouwde IPM-beginselen van IPMwise. Het programma bevat nuttige hulpmiddelen om de inspanning tegen onkruid aan te passen aan de huidige onkruidpopulatie in een veld en zo het gebruik van herbiciden aanzienlijk te minimaliseren. Het programma kan worden gebruikt voor het plannen van herbiciden bespuitingen op zowel veldniveau als voor een algemene planningstool voor gewasadviseurs om geschikte tankmixen en bijbehorende doseringen te vinden. 
De uitgangspunten van het programma zijn gebaseerd op doseringsgegevens uit effectiviteitsrapporten. In Denemarken wordt momenteel gewerkt aan 
het programma ook te gebruiken in combinatie met kunstmatige intelligentie, automatische onkruidherkenning en spuitkaarten.";;Tilpass ugrashåndteringen til dine behov som profesjonell bonde eller avlingsrådgiver. Du kan selv bestemme nivået av ugrasbekjempelse, eller la de innebygde IPV-prinsippene i IPMwise veilede deg. Programvaren inneholder nyttige verktøy for å tilpasse innsatsen mot ugras til den nåværende ugrasbestand i en åker og dermed minimere bruken av herbicider betraktelig. Programvaren kan brukes til å planlegge bruken av herbicider både på feltnivå og som et generelt planleggingsverktøy for avlingsrådgivere for å finne passende blandinger og tilsvarende doseringsrater. Prinsippene for programmet er basert på doseresponsdata utledet fra effektrapporter. I Danmark jobbes det for tiden med å bruke IPMwise programvare beslutningsstøtte i forbindelse med kunstig intelligens, automatisk ugrasgjenkjenning og sprøytekart. Denne demoen har vært begrenset med hensyn til antall avlinger og ugras sammenlignet med den fullstendige danske versjonen.;Anpassa ogräshanteringen efter dina behov som professionell lantbrukare eller rådgivare. Bestäm själv nivån på ogräsbekämpning eller låt de inbyggda IPM-principerna i IPMwise vägleda dig. Programvaran innehåller användbara verktyg för att anpassa ogräsbekämpningen till den aktuella ogräspopulationen i ett fält och därmed en minimerad användning av herbicider. Programvaran kan användas för att planera herbicidinsatser på både fältnivå och som ett allmänt planeringsverktyg för rådgivare för att hitta lämpliga tankblandningar och motsvarande doser. Principerna för programmet är baserade på dos-responsdata som härrör från effektförsök. I Danmark pågår för närvarande arbetet med att även använda beslutsstödsprogrammet IPMwise i kombination med artificiell intelligens, automatisk ogräsigenkänning och bekämpningskartor.;"Adapt weed management to your needs as a professional farmer or crop advisor. Decide yourself, the level of weed control 
or let the built-in IPM principles of IPMwise guide you. The program contains useful tools to adapt the effort against weeds to the 
current weed population in a field and thus minimize the use of herbicides considerably. The program can be used to plan herbicide 
efforts at both field level and as a general planning tool for crop advisors to find suitable tank mixtures and corresponding dose rates. 
The principles of the program are based on dose response data derived from efficacy reports. In Denmark, work is currently underway to 
also use the program in conjunction with artificial intelligence, automatic weed recognition and spray maps.
";;;"Personalizzate la gestione delle infestanti secondo le vostre esigenze di agricoltori professionisti o di consulenti colturali. Decidete voi stessi il livello di controllo delle infestanti 
o lasciatevi guidare dai principi IPM integrati di IPMwise. Il programma contiene strumenti utili per adattare lo sforzo contro le infestanti alla 
popolazione attuale di erbe infestanti in un campo e quindi ridurre notevolmente l'uso di erbicidi. Il programma può essere utilizzato per pianificare gli sforzi 
sia a livello di campo che come strumento di pianificazione generale per i consulenti colturali, per trovare le miscele adatte e le dosi corrispondenti. 
I principi del programma si basano su dati di risposta alla dose derivati da rapporti di efficacia. In Danimarca si sta attualmente lavorando per 
utilizzare il programma anche in combinazione con l'intelligenza artificiale, il riconoscimento automatico delle erbe infestanti e le mappe di irrorazione.";;;;
com.ipmwise.4.models.ipmwiseDK.name;IPMwise Denmark;IPMwise Danmark;IPMwise Demoversion;IPMwise Denemarken;;IPMwise Danmark;IPMwise Danmark;IPMwise Tanska;;;IPMwise Danimarca;;;;
com.ipmwise.4.models.ipmwiseDK.purpose;Weed treatment advice;Råd om ukrudtsbekæmpelse;Beratung zur Unkrautbehandlung;Onkruidbestrijdingsadvies;;Råd om ugrasbekjempelse;Råd om ogräsbehandling;Rikkakasvien torjunnan tueksi;;;Consigli per il trattamento delle erbe infestanti;;;;
com.ipmwise.4.models.ipmwiseES.description;"Adapta tu manejo de malas hierbas a tus necesidades como un agricultor profesional o un asesor de cultivos. 
Decide por ti mismo el nivel de control de malas hierbas o utiliza el modulo basado en IPM del IPMwise para guiarte. 
Caracteristicas principales: Las herramientas integradas en IPMWise pueden asistirte en planificar y decidir 
las mejores estrategias de control de malas hierbas en tus fincas. Puedes simular como afectan las diferentes
condiciones de la parcela a la necesidad de control y a las herramientas disponibles. En caso de que no tengas 
recomendaciones especificas para controlar tus malas hierbas en un momento determinado, IPMWise te permite 
simular si en momentos anteriores o posteriores al actual es posible controlar tus infestaciones de malas hierbas.  
";Tilpas ukrudtshåndteringen til dine behov som professionel landmand eller konsulent. Bestem selv niveauet af ukrudtsbekæmpelse, eller lad de indbyggede IPM-principper i IPMwise guide dig. Softwaren indeholder nyttige værktøjer til at tilpasse ukrudtsbekæmpelsen til den aktuelle ukrudtspopulation på en mark og dermed minimere brugen af ​​herbicider. Softwaren kan bruges til at planlægge herbicidoperationer på både markniveau og som et generelt planlægningsværktøj for rådgivere til at finde passende tankblandinger og tilsvarende mængder. Principperne for programmet er baseret på dosis-respons-data afledt af effektforsøg. I Danmark arbejdes der i øjeblikket på også at bruge beslutningsstøtteprogrammet IPMwise i kombination med kunstig intelligens, automatisk ukrudtsgenkendelse og bekæmpelseskort. Denne demo har været begrænset i forhold til antallet af afgrøder og ukrudt i forhold til den fulde danske version.;Passt das Unkrautmanagement an Ihre Bedürfnisse als professioneller Landwirt oder Anbauberater an. Entscheiden Sie selbst über den Grad der Unkrautbekämpfung oder lassen Sie sich von den integrierten IPM-Grundsätzen von IPMwise leiten. Die Software enthält nützliche Werkzeuge zur Anpassung der Unkrautbekämpfung an die Unkrautpopulation in einem Feld, um so den Einsatz von Herbiziden erheblich zu minimieren. Die Software kann sowohl zur Planung des Herbizideinsatzes auf Feldebene als auch als allgemeines Planungsinstrument für Pflanzenbauberater verwendet werden, um geeignete Tankmischungen und entsprechende Dosierungen zu finden. Die Grundsätze des Programms beruhen auf Dosis-Wirkungs-Daten, die aus Wirksamkeitsberichten abgeleitet werden. In Dänemark wird derzeit daran gearbeitet, die IPMwise-Entscheidungshilfe-Software in Verbindung mit künstlicher Intelligenz, automatischer Unkrauterkennung und Spritzkarten einzusetzen.;"Stemt uw onkruidbeheer af op uw behoeften als professionele landbouwer of gewasadviseur. 
Bepaal zelf het niveau van onkruidbestrijding of gebruik de op IPMwise gebaseerde module om u te begeleiden. 
Belangrijkste kenmerken: De geïntegreerde tools in IPMWise kunnen u helpen bij het plannen en bepalen van de beste onkruidbestrijdingsstrategieën. 
De beste onkruidbestrijdingsstrategieën voor uw bedrijf. U kunt simuleren hoe verschillende percelen de omstandigheden de noodzaak tot bestrijding en de beschikbare hulpmiddelen beïnvloeden. Indien u niet beschikt over specifieke aanbevelingen voor de bestrijding van uw onkruid op een bepaald tijdstip, kunt u met IPMWise simuleren of het mogelijk is uw onkruidplagen vóór of na het huidige tijdstip te bestrijden.";;Tilpass ugrashåndteringen til dine behov som profesjonell bonde eller avlingsrådgiver. Du kan selv bestemme nivået av ugrasbekjempelse, eller la de innebygde IPV-prinsippene i IPMwise veilede deg. Programvaren inneholder nyttige verktøy for å tilpasse innsatsen mot ugras til den nåværende ugrasbestand i en åker og dermed minimere bruken av herbicider betraktelig. Programvaren kan brukes til å planlegge bruken av herbicider både på feltnivå og som et generelt planleggingsverktøy for avlingsrådgivere for å finne passende blandinger og tilsvarende doseringsrater. Prinsippene for programmet er basert på doseresponsdata utledet fra effektrapporter. I Danmark jobbes det for tiden med å bruke IPMwise programvare beslutningsstøtte i forbindelse med kunstig intelligens, automatisk ugrasgjenkjenning og sprøytekart. Denne demoen har vært begrenset med hensyn til antall avlinger og ugras sammenlignet med den fullstendige danske versjonen.;Anpassa ogräshanteringen efter dina behov som professionell lantbrukare eller rådgivare. Bestäm själv nivån på ogräsbekämpning eller låt de inbyggda IPM-principerna i IPMwise vägleda dig. Programvaran innehåller användbara verktyg för att anpassa ogräsbekämpningen till den aktuella ogräspopulationen i ett fält och därmed en minimerad användning av herbicider. Programvaran kan användas för att planera herbicidinsatser på både fältnivå och som ett allmänt planeringsverktyg för rådgivare för att hitta lämpliga tankblandningar och motsvarande doser. Principerna för programmet är baserade på dos-responsdata som härrör från effektförsök. I Danmark pågår för närvarande arbetet med att även använda beslutsstödsprogrammet IPMwise i kombination med artificiell intelligens, automatisk ogräsigenkänning och bekämpningskartor.;;;;"Personalizzate la gestione delle infestanti in base alle vostre esigenze di agricoltori professionisti o di consulenti colturali. 
Decidete voi stessi il livello di controllo delle infestanti o utilizzate il modulo IPMwise per orientarvi. 
Caratteristiche principali: gli strumenti integrati di IPMWise possono aiutarvi a pianificare e decidere le migliori strategie di controllo delle infestanti. 
le migliori strategie di controllo delle infestanti per la vostra azienda agricola. È possibile simulare come le diverse condizioni dell'appezzamento
Le condizioni influiscono sulla necessità di controllo e sugli strumenti disponibili. Nel caso in cui non si disponga di 
raccomandazioni specifiche per il controllo delle erbe infestanti in un determinato momento, IPMWise vi permette di simulare se in un momento precedente o successivo 
simulare la possibilità di controllare le infestazioni prima o dopo l'ora corrente.";;;;
com.ipmwise.4.models.ipmwiseES.name;IPMwise Spanien;IPMwise Spain;IPMwise Spanien;IPMwise Spanje;;IPMwise Spania;IPMwise Spanien;;;;IPMwise Spagna;;;;
com.ipmwise.4.models.ipmwiseES.purpose;Weed treatment advice;Råd om ukrudtsbekæmpelse;Beratung zur Unkrautbehandlung;Onkruidbestrijdingsadvies;;Råd om ugrasbekjempelse;Råd om ogräsbehandling;;;;Consigli per il trattamento delle erbe infestanti;;;;
