KEY;default;dk;de;nl;sl;no;se;fi;lt;fr;it;gr;pl;es;pt
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.description;"This model calculates hourly tempertaure values based on the CIBSE model for multiple days (Chow & Levermore, 2007). The model first allocates times for when  maximum and minimum temperatures occur in each day using the CIBSE Guide A2 (1982). 
Maximum temperature is then linked, using a sinusoidal curve to the minimum temperature of the following day. Capping is introduced in this model whereby if the generated value is higher than the maximum temperature then it is reduced to the maximum tempertaure,
and if lower than the minium temperature the generated value is changed to the minimum temperature.

SOURCE: 
ASSUMPTIONS: 
REFERENCE: "
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.name;CIBSE hourly temperature for multiple days
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.chart_heading;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.result_parameters.TMH.description;The hourly tempertaures are provided for each hour of each day.
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.result_parameters.TMH.title;Hourly temperature
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.0.explanation;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.0.recommended_action;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.1.explanation;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.1.recommended_action;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.2.explanation;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.2.recommended_action;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.3.explanation;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.3.recommended_action;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.4.explanation;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.output.warning_status_interpretation.4.recommended_action;
adas.datamanipulation.0_0_6.models.CIBSEmultipledays.purpose;
adas.datamanipulation.0_0_6.models.CIBSEsingleday.description;"This model calculates hourly tempertaure values based on the CIBSE model for a single day (Chow & Levermore, 2007). The model first allocates times for when  maximum and minimum temperatures occur in the day using the CIBSE Guide A2 (1982). 
The model then uses these predicted times aswell as minimum and maximum air tempertaures to fit the data via sinusoidal curves.

SOURCE: 
ASSUMPTIONS: 
REFERENCE: "
adas.datamanipulation.0_0_6.models.CIBSEsingleday.name;CIBSE hourly temperature for a single day
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.chart_heading;
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.result_parameters.TMH.description;The hourly tempertaures are provided for each hour of the day.
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.result_parameters.TMH.title;Hourly temperatures
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.warning_status_interpretation.0.explanation;
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.warning_status_interpretation.0.recommended_action;
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.warning_status_interpretation.1.explanation;
adas.datamanipulation.0_0_6.models.CIBSEsingleday.output.warning_status_interpretation.1.recommended_action;
