KEY;default
com.ipmwise.4.models.ipmwiseDEMO.description;"Adapt weed management to your needs as a professional farmer or crop advisor. Decide yourself, the level of weed control 
or let the built-in IPM principles of IPMwise guide you. The software contains useful tools to adapt the effort against weeds to the 
current weed population in a field and thus minimize the use of herbicides considerably. The software can be used to plan herbicide 
efforts at both field level and as a general planning tool for crop advisors to find suitable tank mixtures and corresponding dose rates. 
The principles of the program are based on dose response data derived from efficacy reports. In Denmark, work is currently underway to 
also use the IPMwise decision support software in conjunction with artificial intelligence, automatic weed recognition and spray maps. 
This demo has been restricted concerning the number of crops and weeds compared to the full Danish version.
"
com.ipmwise.4.models.ipmwiseDEMO.name;IPMwise demo version
com.ipmwise.4.models.ipmwiseDEMO.purpose;Weed treatment advice
com.ipmwise.4.models.ipmwiseDK.description;"Dansk: Tilpas ukrudtsbekæmpelsen til netop dit behov som landmand eller konsulent. Bestem selv, hvor rene dine marker skal være - eller lad IPMwise
guide dig, hvis du foretrækker IPM. Programmet indeholder nyttige værktøjer, der kan hjælpe med at tilpasse indsatsen mod ukrudt til den aktuelle 
ukrudtsbestand i marken og på den måde mindske herbicidforbruget betragteligt. Programmet kan anvendes til planlægning af herbicidindsatsen på både
markniveau og som et generelt planlægningsværtøj for planteavlskonsulenter til at finde egnede tankblandinger og tilhørende doser. Programmet
fungerer ved hjælp af dosis-respons-data, som kommer fra effektrapporter. I Danmark arbejdes der for tiden på også at anvende programmet 
i forbindelse med kunstig intelligens, automatisk ukrudtsgenkendelse og tildelingskort.

English: Adapt weed management to your needs as a professional farmer or crop advisor. Decide yourself, the level of weed control 
or let the built-in IPM principles of IPMwise guide you. The program contains useful tools to adapt the effort against weeds to the 
current weed population in a field and thus minimize the use of herbicides considerably. The program can be used to plan herbicide 
efforts at both field level and as a general planning tool for crop advisors to find suitable tank mixtures and corresponding dose rates. 
The principles of the program are based on dose response data derived from efficacy reports. In Denmark, work is currently underway to 
also use the program in conjunction with artificial intelligence, automatic weed recognition and spray maps.
"
com.ipmwise.4.models.ipmwiseDK.name;IPMwise Denmark
com.ipmwise.4.models.ipmwiseDK.purpose;Weed treatment advice
com.ipmwise.4.models.ipmwiseES.description;"Adapta tu manejo de malas hierbas a tus necesidades como un agricultor profesional o un asesor de cultivos. 
Decide por ti mismo el nivel de control de malas hierbas o utiliza el modulo basado en IPM del IPMwise para guiarte. 
Caracteristicas principales: Las herramientas integradas en IPMWise pueden asistirte en planificar y decidir 
las mejores estrategias de control de malas hierbas en tus fincas. Puedes simular como afectan las diferentes
condiciones de la parcela a la necesidad de control y a las herramientas disponibles. En caso de que no tengas 
recomendaciones especificas para controlar tus malas hierbas en un momento determinado, IPMWise te permite 
simular si en momentos anteriores o posteriores al actual es posible controlar tus infestaciones de malas hierbas.  
"
com.ipmwise.4.models.ipmwiseES.name;IPMwise Spain
com.ipmwise.4.models.ipmwiseES.purpose;Weed treatment advice
com.ipmwise.4.models.ipmwiseNO.description;"VIPS-Ugras 2.0 er en ny versjon av VIPS-ugras. IPM Consult har utviklet systemet og som på dansk heter IPMwise. 
Det er tilpasset norske forhold av Norsk institutt for bioøkonomi (NIBIO) i samarbeid med Norsk Landbruksrådgiving (NLR). 
Det er nye beregninger og tilpasninger, men det er mye det samme innholdet som gamle VIPS-Ugras. VIPS-Ugras 2.0 krever 
innlogging. Fordelen med innlogging er at systemet kan huske skiftene dine. Systemet er gratis i Norge. Du kan velge å 
bruke ferdig innlagte effektkrav eller velge dine egne effektkrav. For en optimal plantevernløsning for de fleste forhold 
anbefaler vi at du bruker systemets effektkrav  
"
com.ipmwise.4.models.ipmwiseNO.name;VIPS-ugras Norway
com.ipmwise.4.models.ipmwiseNO.purpose;Weed treatment advice
com.ipmwise.4.name;IPMwise
