KEY;default;de;sl;nl;dk;se;gr;no;fi;lt;fr;it;pl;es;pt
no.nibio.vips.2_0.name;VIPS;VIPS;VIPS;VIPS;VIPS;VIPS;VIPS;VIPS;;;;;;;
no.nibio.vips.2_0.models.DELIARADIC.description;"THE PEST: Cabbage root fly larvae feed on the roots of brassicas, with damage being dependant on the crop type, growth stage and growing conditions. The cabbage root fly adults begin to lay eggs 5-7 days after emergence.  Newly transplanted or recently emerged crops are most at risk as the root systems are less developed. 
THE DECISION: Treatments may need to be applied soon after adults arrive in the crop, before subsequent larvae tunnel into the crop roots.  
THE MODEL: The model determins the start of egg laying as 160 degree-days (day-degrees) based on soil temperature (10 cm), over a base of temperature of 4 °C), OR based on the standard air temperature (2 m above the soil surface) at the same locations, egg laying starts at 210 degree days. 
THE PARAMETERS: The model uses Daily soil OR air temperature 
SOURCE: NIBIO, Norway. 
ASSUMPTIONS: Be aware that in areas with field covers (plastic, single or double non-woven covers, etc.) with early crops the preceding season (either on the current field or neighboring fields), the flight period can start earlier due to higher soil temperature under the covers. This model should be used in combination with direct observations of eggs in the field. This is due to large variability and to get an idea of the severity of attack. The model only applies for cabbage fly, not turnip fly.
";"SCHADERREGER: Die Larven der Kohlfliege ernähren sich von den Wurzeln der Kohlgewächse, wobei die Schäden von der Kulturart, dem Entwicklungsstadium und den Wachstumsbedingungen abhängen. Die erwachsenen Kohlfliegen beginnen 5-7 Tage nach ihrem Auftreten mit der Eiablage.  Neu eingepflanzte oder kürzlich aufgelaufene Pflanzen sind am meisten gefährdet, da ihr Wurzelsystem noch nicht so weit entwickelt ist. 
ENTSCHEIDUNG: Möglicherweise müssen Behandlungen kurz nach dem Auftreten der erwachsenen Tiere in der Kultur durchgeführt werden, bevor die Larven in die Wurzeln der Pflanze eindringen.  
MODELL: Das Modell bestimmt den Beginn der Eiablage als 160 Grad-Tage (Tagesgrade) auf der Grundlage der Bodentemperatur (10 cm), über einer Basistemperatur von 4 °C), ODER auf der Grundlage der Standardlufttemperatur (2 m über der Bodenoberfläche) an denselben Standorten, wobei die Eiablage bei 210 Grad-Tagen beginnt. 
PARAMETER: Das Modell verwendet die tägliche Boden- ODER Lufttemperatur 
QUELLE: NIBIO, Norwegen. 
ANNAHMEN: Es ist zu beachten, dass in Gebieten mit Feldabdeckungen (Plastik, einfache oder doppelte Vliesabdeckungen usw.) mit frühen Ernten in der vorangegangenen Saison (entweder auf dem aktuellen Feld oder auf benachbarten Feldern) die Flugzeit aufgrund der höheren Bodentemperatur unter den Abdeckungen früher beginnen kann. Dieses Modell sollte in Verbindung mit direkten Beobachtungen der Eier auf dem Feld verwendet werden. Der Grund dafür ist die große Variabilität und die Möglichkeit, sich ein Bild von der Schwere des Befalls zu machen. Das Modell gilt nur für die Kohlfliege, nicht für die Rübenfliege.";"
ŠKODLJIV ORGANIZEM: Ličinke kapusove muhe (Delia radicum) se hranijo s koreninami kapusnic, pri čemer je škoda odvisna od vrste pridelka, fenofaze in rastnih razmer. Odrasli osebki kapusove muhe začnejo odlagati jajčeca 5-7 dni po pojavu. Zaradi slabše razvitosti koreninskega sistema so najbolj ogroženi  novo presajeni ali nedavno vznikli posevki. 
ODLOČITEV: Zatiranje kapusove muhe bo morda potrebno kmalu po prihodu odraslih osebkov v posevek, preden se ličinke zajedajo v korenine posevka.  
MODEL: Model določa začetek odlaganja jajčec kot 160 stopinjskih dni na podlagi temperature tal (10 cm) nad temperaturo 4 °C ALI na podlagi standardne temperature zraka (2 m nad tlemi) na istih lokacijah se odlaganje jajčec začne pri 210 stopinjskih dneh. 
PARAMETRI: Model uporablja dnevno temperaturo tal ALI zraka 
VIR: NIBIO, Norveška. 
PREDPOSTAVKE: Na območjih s pkoritimi pridelovalnimi površinami (s plastiko, enojna ali dvojna pokrivala iz netkanega materiala itd.) z zgodnjimi pridelki v prejšnji sezoni (na trenutnem polju ali na sosednjih poljih) obdobje leta lahko začne prej zaradi višje temperature tal pod prekrivali. Ta model je treba uporabljati v kombinaciji z neposrednimi opazovanji jajčec na polju. Razlog za to je velika variabilnost in občutku o resnosti napada. Model velja samo za kapusovo muho (Delia radicum), ne pa tudi za redkvino muho (Delia floralis).";"DE PLAAG: Koolvlieglarven voeden zich met de wortels van koolsoorten, waarbij de schade afhankelijk is van het gewastype, het groeistadium en de groeiomstandigheden. De koolvlieglarven beginnen 5-7 dagen na het uitkomen eieren te leggen.  Pas overgeplante of pas opgekomen gewassen lopen het meeste risico omdat de wortels dan nog niet ontwikkeld zijn. 
DE BESLISSING: Behandelingen moeten wellicht worden toegepast kort nadat de volwassen vliegen het gewas zijn aangekomen, voordat de daaropvolgende larven zich in de wortels van het gewas boren.  
HET MODEL: Het model bepaalt het begin van de eileg op 160 graaddagen (daggraden) op basis van de bodemtemperatuur (10 cm), boven een basistemperatuur van 4 °C), OF op basis van de standaardluchttemperatuur (2 m boven het bodemoppervlak) op dezelfde plaatsen, begint de eileg bij 210 graaddagen. 
DE PARAMETERS: Het model maakt gebruik van de dagelijkse bodem- OF luchttemperatuur. 
BRON: NIBIO, Noorwegen. 
AANNAMES: Wees ervan bewust dat in gebieden met veldbedekkingen (plastic, enkele of dubbele niet-geweven bedekkingen, enz.) met vroege gewassen het voorgaande seizoen (hetzij op het huidige veld of naburige velden), de vliegperiode eerder kan beginnen als gevolg van een hogere bodemtemperatuur onder de bedekkingen. Dit model moet worden gebruikt in combinatie met rechtstreekse waarnemingen van eieren in het veld. Dit wegens de grote variabiliteit en ook om een idee te krijgen van de ernst van de aantasting. Het model is alleen van toepassing op koolvlieg, niet op raapvlieg.
";"SKADEVOLDER: Kålfluer lever af kålplanters rødder, hvor skaderne afhænger af afgrødetype, vækststadium og vækstbetingelser. Voksne kålfluer begynder at lægge æg 5-7 dage efter fremkomst. Nyligt fremkomne afgrøder er mest udsatte, da rodsystemerne er mindre udviklede. 
BESLUTNING: Behandlinger skal muligvis påføres kort efter, at voksne ankommer til afgrøden og før larver laver graver ind i afgrøderødderne. 
MODELLEN: Modellen bestemmer starten på æglægning som 160 graddage baseret på jordtemperatur (10 cm), over en bundtemperatur på 4 °C), ELLER baseret på standard lufttemperaturen (2 m over jordoverfladen) på de samme steder, æglægning starter ved 210 graddage. 
PARAMETRENE: Modellen bruger daglig jord- ELLER lufttemperatur 
KILDE: NIBIO, Norge. 
FORUDSÆTNINGER: Vær opmærksom på, at i områder med markdæksler (plast, enkelt- eller dobbelt fiberdække osv.) med tidlige afgrøder den foregående sæson (enten på den aktuelle mark eller nabomarker) kan flyveperioden starte tidligere på grund af højere jordtemperatur under dækkerne. Denne model skal bruges i kombination med direkte observationer af æg i marken. Dette skyldes stor variation og for at få en idé om sværhedsgraden af angrebet. Modellen gælder kun for kålflue, ikke majroeflue.";"SKADEGÖRAREN: Larverna av liten kålfluga äter på rötter av Brassica-famljen, och ger skador som beror på grödans typ, tillväxtstadium och odlingsförhållanden. Kålrotflugan börjar lägga ägg 5-7 dagar efter uppkomst.  Nyplanterade eller nyligen uppkomna grödor är mest utsatta eftersom rotsystemen är mindre utvecklade.
BESLUTET: Behandlingar kan behöva utföras strax efter att vuxna flugor anländer till grödan, innan larverna äter sig in i grödans rötter.
MODELLEN: Modellen beräknar början av äggläggningen som 160 daggrader baserat på marktemperatur (10 cm), över en temperaturbas på 4 ° C, ELLER baserat på standardlufttemperaturen (2 m över markytan) på samma plats då äggläggningen beräknas börja vid 210 graddagar.
PARAMETRARNA: Modellen använder Daglig jord ELLER lufttemperatur
KÄLLA: NIBIO, Norge.
ANTAGANDEN: Var medveten om att i områden med täckta fält (plast, enkla eller dubbla non-woven, etc.) med tidiga grödor föregående säsong (antingen på det aktuella fältet eller angränsande fält) kan flygperioden börja tidigare på grund av högre marktemperatur under täcken. Denna modell bör användas i kombination med direkta observationer av ägg i fältet. Detta beror på stor variation och för att få en uppfattning om attackens svårighetsgrad. Modellen gäller endast liten kålfluga, inte stora kålflugan.";Ο ΕΧΘΡΟΣ: Οι προνύμφες της μύγας του λάχανου τρέφονται με τις ρίζες των κραμβοειδών, ενώ η ζημιά εξαρτάται από τον τύπο της καλλιέργειας, το στάδιο ανάπτυξης και τις συνθήκες καλλιέργειας. Τα ενήλικα άτομα της μύγας του λάχανου αρχίζουν να γεννούν αυγά 5-7 ημέρες μετά την εμφάνιση.  Οι πρόσφατα μεταφυτευμένες ή πρόσφατα αναδυόμενες καλλιέργειες κινδυνεύουν περισσότερο, καθώς τα ριζικά συστήματα είναι λιγότερο ανεπτυγμένα. Η ΑΠΟΦΑΣΗ: Οι επεμβάσεις μπορεί να χρειαστεί να εφαρμοστούν σύντομα μετά την άφιξη των ενηλίκων στην καλλιέργεια, πριν οι επόμενες προνύμφες εισχωρήσουν στις ρίζες της καλλιέργειας.  ΤΟ ΜΟΝΤΕΛΟ: Το μοντέλο προσδιορίζει την έναρξη της ωοτοκίας ως 160 βαθμοημέρες με βάση τη θερμοκρασία του εδάφους (10 cm), πάνω από μια βάση θερμοκρασίας 4 °C), Ή με βάση την τυπική θερμοκρασία του αέρα (2 m πάνω από την επιφάνεια του εδάφους) στις ίδιες θέσεις, η ωοτοκία αρχίζει στις 210 βαθμοημέρες. ΟΙ ΠΑΡΑΜΕΤΡΟΙ: Το μοντέλο χρησιμοποιεί ημερήσια θερμοκρασία εδάφους Ή αέρα ΠΗΓΗ: NIBIO, Νορβηγία. ΠΑΡΑΔΟΧΕΣ: Έχετε υπόψη ότι σε περιοχές με καλύμματα αγρού (πλαστικά, απλά ή διπλά μη υφασμένα καλύμματα κ.λπ.) με πρώιμες καλλιέργειες την προηγούμενη περίοδο (είτε στον τρέχοντα αγρό είτε σε γειτονικούς αγρούς), η περίοδος πτήσης μπορεί να ξεκινήσει νωρίτερα λόγω της υψηλότερης θερμοκρασίας εδάφους κάτω από τα καλύμματα. Το μοντέλο αυτό θα πρέπει να χρησιμοποιείται σε συνδυασμό με άμεσες παρατηρήσεις των αυγών στον αγρό. Αυτό οφείλεται στη μεγάλη μεταβλητότητα και για να αποκτήσετε μια ιδέα για τη σοβαρότητα της προσβολής. Το μοντέλο ισχύει μόνο για τη μύγα του λάχανου και όχι για τη μύγα του γογγύλου.;"SKADEGJØREREN: Larvene av liten kålflue (Delia radicum) spiser på røttene til brassica-planter. Skade på plantene avhenger av type vekst, vekststadium og vekstbetingelser. Voksne kålfluer begynner å legge egg 5-7 dage etter klekking. Nyspirte eller nyutplantede vekster er mest utsatt, da rotsystemene er mindre utviklet. 
BESLUTNING: Behandlinger må muligens utføres like etter voksne kålfluer ankommer kulturen, før nyklekte larver gnager seg inn i plantenes røtter. 
MODELLEN: Modellen beregner starten på eggleggingen som 160 graddager basert på jordtemperatur (10 cm), med en basisemperatur på 4 °C, ELLER basert på standard lufttemperatur (2 m over bakken) og basistemperatur på 4 °C starter egglegging ved 210 graddager. 
PARAMETRENE: Modellen bruker daglig jord- ELLER lufttemperatur 
KILDE: NIBIO, Norge. 
FORUTSETNINGER: Vær klar over at i områder med dekke (plast, enkel og dobbel fiberduk el. lign.) (enten på samme jorde eller nabojorder) året før, kan svermingen starte tidligere på grunn av høyere jordtemperatur under dekket. Bruk av denne varslingsmodellen bør kombineres med direkte eggobservasjoner i egen åker. Både på grunn av stor variasjon og for å få et inntrykk av angrepsgraden. Modellen gjelder kun for liten kålflue, ikke stor kålflue.";;;"LE RAVAGEUR :  : Les larves de la mouche de la racine du chou se nourrissent des racines des brassicacées, les dégâts étant fonction du type de culture, du stade de croissance et des conditions de culture. Les adultes de la mouche de la racine du chou commencent à pondre des œufs 5 à 7 jours après l'émergence.  Les cultures nouvellement transplantées ou récemment émergées sont les plus à risque car les systèmes racinaires sont moins développés. 
LA DÉCISION : Il peut être nécessaire d'appliquer des traitements peu après l'arrivée des adultes dans la culture, avant que les larves ultérieures ne creusent des tunnels dans les racines de la culture.  
LE MODÈLE : Le modèle détermine le début de la ponte à 160 degrés-jours (degrés-jours) en fonction de la température du sol (10 cm), sur une base de température de 4 °C), OU en fonction de la température standard de l'air (2 m au-dessus de la surface du sol) aux mêmes endroits, la ponte commence à 210 degrés-jours. 
LES PARAMÈTRES : Le modèle utilise la température quotidienne du sol OU de l'air.
SOURCE : NIBIO, Norvège.
LES HYPOTHÈSES : Dans les zones où il y a des couvertures de champ (plastique, couvertures non-tissées simples ou doubles, etc.) avec des cultures précoces la saison précédente (soit sur le champ, soit sur les champs voisins), la période de vol peut commencer plus tôt en raison de la température du sol plus élevée sous les couvertures. Ce modèle doit être utilisé en combinaison avec des observations directes des œufs sur le terrain, en raison de la grande variabilité et pour avoir une idée de la gravité de l'attaque. Le modèle ne s'applique qu'à la mouche du chou, pas à la mouche du navet. ";"Il parassita: le larve della mosca del cavolo si nutrono delle radici delle brassicacee, con danni che dipendono dal tipo di coltura, dallo stadio di crescita e dalle condizioni di coltivazione. Gli adulti della mosca del cavolo iniziano a deporre le uova 5-7 giorni dopo la comparsa.  Le colture appena trapiantate o emerse di recente sono più a rischio, poiché gli apparati radicali sono meno sviluppati. 
LA DECISIONE: può essere necessario applicare i trattamenti subito dopo l'arrivo degli adulti nella coltura, prima che le successive larve penetrino nelle radici della coltura.  
IL MODELLO: Il modello determina l'inizio della deposizione delle uova a 160 gradi-giorni in base alla temperatura del suolo (10 cm), su una base di temperatura di 4 °C, OPPURE in base alla temperatura standard dell'aria (2 m sopra la superficie del suolo) nelle stesse località, la deposizione delle uova inizia a 210 gradi-giorni. 
I PARAMETRI: Il modello utilizza la temperatura giornaliera del suolo o dell'aria. 
FONTE: NIBIO, Norvegia. 
ASSUNZIONI: Tenere presente che nelle aree con coperture del campo (plastica, coperture singole o doppie in tessuto non tessuto, ecc.) con colture precoci nella stagione precedente (sul campo attuale o su campi vicini), il periodo di volo può iniziare prima a causa della temperatura più elevata del suolo sotto le coperture. Questo modello deve essere utilizzato in combinazione con le osservazioni dirette delle uova sul campo. Ciò è dovuto alla grande variabilità e per avere un'idea della gravità dell'attacco. Il modello si applica solo alla mosca del cavolo, non alla mosca delle rape.";;;
no.nibio.vips.2_0.models.DELIARADIC.execution.input_schema.properties.configParameters.properties.timeEnd.title;End date of calculation (YYYY-MM-DD);Enddatum der Berechnung (JJJJ-MM-TT);Končni datum izračuna (LLLL-MM-DD);Einddatum van berekening (JJJJ-MM-DD);Slutdato for beregning (ÅÅÅÅ-MM-DD);Slutdatum för beräkning (ÅÅÅÅ-MM-DD);Ημερομηνία λήξης του υπολογισμού (ΕΕΕΕ-MM-ΗΗ);Sluttdato for beregningen (ÅÅÅÅ-MM-DD);;;Date de fin du calcul (AAAA-MM-JJ);Data di fine calcolo (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.DELIARADIC.execution.input_schema.properties.configParameters.properties.timeStart.title;Start date of calculation (YYYY-MM-DD);Startdatum der Berechnung (JJJJ-MM-TT);Datum začetka izračuna (LLLL-MM-DD);Begindatum van berekening (JJJJ-MM-DD);Startdato for beregning (ÅÅÅÅ-MM-DD);Startdatum för beräkningen (ÅÅÅÅ-MM-DD);Ημερομηνία έναρξης του υπολογισμού (ΕΕΕΕ-MM-ΗΗ);Startdato for beregningen (ÅÅÅÅ-MM-DD);;;Date de début du calcul (AAAA-MM-JJ);Data di inizio del calcolo (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.DELIARADIC.execution.input_schema.properties.configParameters.properties.timeZone.title;Time zone (e.g. Europe/Oslo);Zeitzone (z. B. Europa/Oslo);Časovni pas (npr. Evropa/Oslo);Tijdzone (bijv. Europa/Oslo);Tidszone (f.eks. Europa/Oslo);Tidszon (t.ex. Europa/Oslo);Ζώνη ώρας (π.χ. Ευρώπη/Οσλο);Tidssone (e.g. Europe/Oslo);;;Fuseau horaire (par exemple, Europe/Oslo);Fuso orario (ad es. Europa/Oslo);;;
no.nibio.vips.2_0.models.DELIARADIC.execution.input_schema.properties.configParameters.title;Configuration parameters;Konfigurationsparameter;Nastavitev parametrov;Configuratie parameters;Konfigurationsparametre;Konfigurationsparametrar;Παράμετροι διαμόρφωσης;Konfigurasjonsparametre;;;Paramètres de configuration;Parametri di configurazione;;;
no.nibio.vips.2_0.models.DELIARADIC.execution.input_schema.properties.modelId.description;Must be DELIARADIC;Muss DELIARADIC sein;Mora biti DELIARADIC;Moet DELIARADISCH zijn;Skal være DELIARADIC;Måste vara DELIARADIC;Πρέπει να είναι DELIARADIC;Må være DELIARADIC;;;Doit être DELIARADIC;Devono essere DELIARADIC;;;
no.nibio.vips.2_0.models.DELIARADIC.execution.input_schema.properties.modelId.title;Model Id;Modell-ID;Ime modela;Model-id;Model-id;Modell-ID;Κωδικός μοντέλου;Modell-id;;;Modèle Id;Id modello;;;
no.nibio.vips.2_0.models.DELIARADIC.name;Cabbage fly flight model (Scandinavia);Modell zum Flug der Kohlfliege (Skandinavien);Model leta kapusove muhe (Skandinavija);Koolvlieg model (Scandinavië);Kålflue-flyvningsmodel (Skandinavien);Kålfluga flygmodell (Skandinavien);Μοντέλο πτήσης μύγας λάχανου (Σκανδιναβία);Liten kålflue modell (Skandinavia);;;Modèle de vol de la mouche du chou (Scandinavie);Modello di volo della mosca cavallina (Scandinavia);;;
no.nibio.vips.2_0.models.DELIARADIC.output.chart_groups.G1.title;Day degrees;Gradtage;Stopinjski dnevi;Graaddagen;Graddage;Daggrader;Βαθμοημέρες;Graddager;;;Degrés-jour;Gradi giorno;;;
