KEY;default;de;sl;nl;dk;sv
dk.seges.1_1.models.SEPTORIAHU.description;"THE PEST: Leaf blotch diseases of wheat can be caused by septoria tritici blotch (Zymoseptoria tritici) and staganospora nodorum blotch (Parastagonospora nodorum), which are both  favoured by wet conditions. 
THE DECISION: Fungicide treatments may need to be applied between stem extension and ear emergence, mainly to protect the upper leaves.  
THE MODEL: The humidity model estimates risk of septoria tritici blotch infections in winter wheat. Risk of attack is assumed after 20 hours with continuous wetness. A wet hour is defined as minimum 0,2 mm precipitation in an hour or minimum 85% relative humidity. 
THE PARAMETERS: Weather data from GS 31 are used. In addition, the dates of occurrence of growth stages 31 and 32 are entered. The model calculates the expected date for the other stages. This can be adjusted manually. Adding information on fungicide spraying dates is vital for the model. After spraying, the model assumes that the crop is protected for 10 days. The thresholds for number of wet hours and relative humidity can be adjusted manually.  
SOURCE: Created by Aahus University and SEGES and released in Denmark in 2017. Tested in Lithuania, Norway, Sweden, Finland and Denmark in 2018 and 2019. 
ASSUMPTIONS: septoria tritici blotch is present and periods with high humidity create risk for a damaging epidemic
";"SCHADERREGER: Blattfleckenkrankheiten bei Weizen können durch die Septoria-Blattdürre (Zymoseptoria tritici) und die Blatt-und Spelzenbräune  (Parastagonospora nodorum) verursacht werden, die beide durch feuchte Bedingungen begünstigt werden. 
ENTSCHEIDUNG: Möglicherweise müssen Fungizidbehandlungen zwischen dem Schossen und dem Ährenschieben durchgeführt werden, vor allem um die oberen Blätter zu schützen.  
MODELL: Das Feuchtigkeitsmodell schätzt das Risiko einer Septoria tritici-Infektion bei Winterweizen. Das Risiko eines Befalls wird nach 20 Stunden mit kontinuierlicher Nässe angenommen. Eine feuchte Stunde ist definiert als mindestens 0,2 mm Niederschlag in einer Stunde oder mindestens 85 % relative Luftfeuchtigkeit. 
PARAMETER: Es werden  Wetterdaten ab BBCH 31 verwendet. Außerdem werden die Termine für das Erreichen von BBCH 31 und BBCH 32  eingegeben. Das Modell errechnet den voraussichtlichen Zeitpunkt für die anderen Stadien. Dieser kann manuell angepasst werden. Das Hinzufügen von Informationen über Fungizid-Spritztermine ist für das Modell unerlässlich. Nach dem Spritzen geht das Modell davon aus, dass die Kultur für 10 Tage geschützt ist. Die Schwellenwerte für die Anzahl der feuchten Stunden und die relative Luftfeuchtigkeit können manuell angepasst werden.  
QUELLE: Von der Aahus Universität und SEGES entwickelt und 2017 in Dänemark veröffentlicht. Getestet in Litauen, Norwegen, Schweden, Finnland und Dänemark in den Jahren 2018 und 2019. 
ANNAHMEN: Die Septoria tritici ist vorhanden und Perioden mit hoher Luftfeuchtigkeit schaffen ein Risiko für eine schädigende Epidemie.";"ŠKODLJIV ORGANIZEM: Pšenična listna pegavost (Zymoseptoria tritici) in rjavenje pšeničnih plev (Parastagonospora nodorum), ki jima ustrezajo vlažne razmere. 
ODLOČITEV: Fungicide bo morda potrebno uporabiti med rastjo stebla in pojavom klasov, predvsem za zaščito zgornjih listov.  
MODEL: Model vlažnosti ocenjuje tveganje za okužbe s pšenično listno pegavostjo pri ozimni pšenici. Tveganje za okužbo se predpostavlja po 20 urah neprekinjene vlage. Mokra ura je opredeljena kot najmanj 0,2 mm padavin v eni uri ali najmanj 85% relativna vlažnost. 
PARAMETRI: Uporabljeni so vremenski podatki za obdobje od fenofaze 31. Poleg tega se vnesejo datumi nastopa fenofaz 31 (1. kolence vsaj 1 cm nad mestom razraščanja) in 32 (2. kolence vsaj 2 cm nad 1. kolencem). Model izračuna pričakovane datume za druge fenofaze. To lahko prilagodite ročno. Za model je bistvenega pomena dodajanje podatkov o datumih škropljenja s fungicidi. Po škropljenju model predvideva, da je posevek zaščiten 10 dni. Pragove za število mokrih ur in relativno vlažnost je mogoče prilagoditi ročno.  
VIR: Ustvarila sta ga univerza Aahus in SEGES, objavljen pa je bil na Danskem leta 2017. Testirano v Litvi, na Norveškem, Švedskem, Finskem in Danskem v letih 2018 in 2019. 
PREDPOSTAVKE: Model predpostavlja, da je povzročitelj bolezni prisoten, obdobja z visoko vlažnostjo pa ustvarjajo tveganje za škodljivo epidemijo.";"DE Ziekte: Bladvlekkenziekte bij tarwe kan worden veroorzaakt door Septoria tritici  (Zymoseptoria tritici) en Staganospora nodorum blotch (Parastagonospora nodorum), die beide worden bevorderd door natte omstandigheden. 
DE BESLISSING: Het kan nodig zijn om tussen het uitlopen van de stengel en het uitkomen van de aar een behandeling met fungiciden toe te passen, hoofdzakelijk om de bovenste bladeren te beschermen.  
HET MODEL: Het vochtigheidsmodel schat het risico in van Septoria tritici blotch-infecties in wintertarwe. Het risico van aantasting wordt verondersteld na 20 uur met continue nattigheid. Een nat uur wordt gedefinieerd als minimaal 0,2 mm neerslag in een uur of minimaal 85% relatieve vochtigheid. 
DE PARAMETERS: Er wordt gebruik gemaakt van de weergegevens van GS 31. Daarnaast worden de data van optreden van de groeistadia 31 en 32 ingevoerd. Het model berekent de verwachte datum voor de andere stadia. Dit kan handmatig worden aangepast. Het toevoegen van informatie over de data waarop de fungiciden worden bespoten, is van vitaal belang voor het model. Na het spuiten gaat het model ervan uit dat het gewas gedurende 10 dagen wordt beschermd. De drempels voor het aantal natte uren en de relatieve vochtigheid kunnen handmatig worden aangepast.  
BRON: Gemaakt door Aahus University en SEGES en uitgebracht in Denemarken in 2017. Getest in Litouwen, Noorwegen, Zweden, Finland en Denemarken in 2018 en 2019. 
ASSUMPTIES: septoria tritici blotch is aanwezig en perioden met een hoge luchtvochtigheid creëren risico voor een schadelijke epidemie
";"SKADEVOLDER: Bladpletsygdomme i hvede kan være forårsaget af septoria tritici blotch (Zymoseptoria tritici) og staganospora nodorum blotch (Parastagonospora nodorum), som begge er begunstiget af våde forhold. 
BESLUTNING: Det kan være nødvendigt at anvende fungicidbehandlinger mellem strækning og skridning, hovedsageligt for at beskytte de øverste blade. 
MODELLEN: Fugtighedsmodellen estimerer risikoen for septoria tritici pletinfektioner i vinterhvede. Risiko for angreb antages efter 20 timer med kontinuerlig høj fugtighed. En våd time defineres som mindst 0,2 mm nedbør på en time eller mindst 85% relativ luftfugtighed. 
PARAMETRENE: Der anvendes vejrdata fra GS 31. Derudover indtastes datoerne for forekomsten af vækststadier 31 og 32. Modellen beregner den forventede dato for de øvrige stadier. Dette kan justeres manuelt. Tilføjelse af oplysninger om fungicidsprøjtningsdatoer er afgørende for modellen. Efter sprøjtning antager modellen, at afgrøden er beskyttet i 10 dage. Tærsklerne for antal våde timer og relativ luftfugtighed kan justeres manuelt. 
KILDE: Lavet af Aahus Universitet og SEGES og udgivet i Danmark i 2017. Testet i Litauen, Norge, Sverige, Finland og Danmark i 2018 og 2019. 
ANTAGELSER: septoria tritici plet er til stede, og perioder med høj luftfugtighed skaber risiko for en skadelig epidemi";"SKADEGÖRAREN: Bladfläcksjukdomar hos vete kan orsakas av svartpricksjuka (Zymoseptoria tritici) och brunfläcksjuka (Parastagonospora nodorum), som båda gynnas av våta förhållanden.
BESLUTET: Fungicidbehandlingar kan behöva göras mellan stråskjutning och axgång, främst för att skydda de övre bladen.
MODELLEN: Fuktmodellen uppskattar risken för svartpricksjuka i höstvete. Risk för angress antas finnas efter 20 timmar med kontinuerligt hög luftfuktighet. En våt timme definieras som minst 0,2 mm nederbörd under en timme eller minst 85 % relativ luftfuktighet.
PARAMETRARNA: Väderdata från och med datum för GS 31 används. Dessutom anges datum för tillväxtstadier 31 och 32. Modellen beräknar det förväntade datumet för andra utvecklingstadier. Detta kan justeras manuellt. Att lägga till information om datum för fungicidbehandling är avgörande för modellen. Efter sprutning förutsätter modellen att grödan är skyddad i 10 dagar. Tröskelvärdena för antal våta timmar och relativ luftfuktighet kan justeras manuellt.
KÄLLA: Skapad av Aahus Universitet och SEGES och släpptes i Danmark 2017. Testad i Litauen, Norge, Sverige, Finland och Danmark under 2018 och 2019.
ANTAGANDEN: Zymoseptoria tritici är närvarande och perioder med hög luftfuktighet skapar risk för allvarliga angrepp."
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.date2ndUpperLeafEmerging.title;Date of 2nd upper leaf emerging (GS33) (YYYY-MM-DD);Datum des Drei-Knoten-Stadiums (BBCH 33) (JJJJ-MM-TT);Datum, ko je 3. kolence vsaj 2 cm nad 2. kolencem (fenofaza 33) (LLLL-MM-DD);Datum verschijnen 2e bovenste blad (GS33) (JJJJ-MM-DD);Dato for det andet øverste blad, der vises (GS33) (ÅÅÅ-MM-DD);Datum för 2: a övre bladets framkomst (GS33) (ÅÅÅÅ-MM-DD)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.date3rdUpperLeafEmerging.title;Date of 3rd upper leaf emerging (GS32) (YYYY-MM-DD);Datum des Zwei-Knoten-Stadiums (BBCH 32) (JJJJ-MM-TT);Datum, ko je 2. kolence vsaj 2 cm nad 1. kolencem (fenofaza 32) (LLLLL-MM-DD);Datum verschijnen 3e bovenste blad (GS32) (JJJJ-MM-DD);Dato for tredje øverste blad, der vises (GS32) (ÅÅÅ-MM-DD);Datum för 3: e övre bladets framkomst (GS32) (ÅÅÅÅ-MM-DD)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateGs31.title;Date of growth stage 31 (YYYY-MM-DD);Datum des Ein-Knoten-Stadiums (BBCH 31) (JJJJ-MM-TT);Datum, ko je 1. kolence vsaj 1 cm nad mestom razraščanja (fenofaza 31) (LLLL-MM-DD);Datum van groeistadium 31 (JJJJ-MM-DD);Dato for vækststadie 31 (YYYY-MM-DD);Datum för tillväxtstadium 31 (ÅÅÅÅ-MM-DD)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateGs75.title;Date of all kernels fully developed (GS75) (YYYY-MM-DD);Datum Mitte Milchreife (BBCH 75) (JJJJ-MM-TT);Datum, srednje mlečne zrelosti: vsebina zrn je mlečna, njihova velikost je končna, obarvana so zeleno (fenofaza 75) (LLLLL-MM-DD);Datum waarop alle korrels volledig ontwikkeld zijn (GS75) (JJJJ-MM-DD);Dato for alle kerner fuldt udviklet (GS75) (ÅÅÅ-MM-DD);Datum för när alla kärnor fullt utvecklade (GS75) (ÅÅÅÅ-MM-DD)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateSpraying1.title;Date of first spraying;Datum der ersten Behandlung;Datum prvega škropljenja;Datum eerste bespuiting;Dato for første sprøjtning;Datum för första fungicidbehandling
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateSpraying2.title;Date of second spraying;Datum der zweiten Behandlung;Datum drugega škropljenja;Datum tweede bespuiting;Dato for anden sprøjtning;Datum för andra funbgicidbehandling
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.dateUpperLeafEmerging.title;Date of upper leaf emerging (GS37-39) (YYYY-MM-DD);Datum des Erscheinens des Fahnenblattes (BBCH 37-39) (JJJJ-MM-TT);Datum pojava zgornjih listov (fenofaza 37-39) (LLLL-MM-DD);Datum waarop het vlagblad is verschenen (GS37-39) (JJJJ-MM-DD);Dato for fremkomst af øvre blad (GS37-39) (ÅÅÅ-MM-DD);Datum för flaggbladets framväxt (GS37-39) (ÅÅÅÅ-MM-DD)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.leafLifeTime.title;Expected life time of a leaf (in days);Erwartete Lebensdauer eines Blattes (in Tagen);Pričakovana življenjska doba lista (v dnevih);Verwachte levensduur van een blad (in dagen);Forventet levetid for et blad (i dage);Förväntad livslängd för ett blad (i dagar)
dk.seges.1_1.models.SEPTORIAHU.execution.input_schema.properties.configParameters.properties.slidingHoursAhead.title;Number of hours to consider after current hour;Anzahl der zu berücksichtigenden Stunden nach der aktuellen Stunde;Število ur, ki jih je treba upoštevati po trenutni uri;Aantal uren te beschouwen na het huidige uur;Antal timer, der skal overvejes efter den aktuelle time;Antal timmar att tänka på efter aktuell timme
